site_id,date,target,y_hat
S1,2026-01-01,units_produced,1332.6954
S1,2026-01-02,units_produced,1348.3282
S1,2026-01-03,units_produced,1327.5214
S1,2026-01-04,units_produced,1229.2145
S1,2026-01-05,units_produced,1361.7505
S1,2026-01-06,units_produced,1361.0106
S1,2026-01-07,units_produced,1354.9359
S1,2026-01-08,units_produced,1351.1434
S1,2026-01-09,units_produced,1352.6241
S1,2026-01-10,units_produced,1325.8981
S1,2026-01-11,units_produced,1225.156
S1,2026-01-12,units_produced,1359.8309
S1,2026-01-13,units_produced,1359.2397
S1,2026-01-14,units_produced,1351.7524
S2,2026-01-01,units_produced,1579.7947
S2,2026-01-02,units_produced,1579.9502
S2,2026-01-03,units_produced,1560.0825
S2,2026-01-04,units_produced,1465.5293
S2,2026-01-05,units_produced,1588.6074
S2,2026-01-06,units_produced,1589.7195
S2,2026-01-07,units_produced,1581.0203
S2,2026-01-08,units_produced,1580.9922
S2,2026-01-09,units_produced,1580.9078
S2,2026-01-10,units_produced,1560.4269
S2,2026-01-11,units_produced,1464.9415
S2,2026-01-12,units_produced,1589.5872
S2,2026-01-13,units_produced,1591.1821
S2,2026-01-14,units_produced,1581.9738
S3,2026-01-01,units_produced,1124.7399
S3,2026-01-02,units_produced,1125.004
S3,2026-01-03,units_produced,1108.5771
S3,2026-01-04,units_produced,1060.0769
S3,2026-01-05,units_produced,1140.7286
S3,2026-01-06,units_produced,1138.3884
S3,2026-01-07,units_produced,1129.0513
S3,2026-01-08,units_produced,1125.2217
S3,2026-01-09,units_produced,1125.6335
S3,2026-01-10,units_produced,1108.9824
S3,2026-01-11,units_produced,1060.5477
S3,2026-01-12,units_produced,1141.5438
S3,2026-01-13,units_produced,1139.0277
S3,2026-01-14,units_produced,1131.7972
S4,2026-01-01,units_produced,1345.144
S4,2026-01-02,units_produced,1347.6731
S4,2026-01-03,units_produced,1312.9355
S4,2026-01-04,units_produced,1245.2954
S4,2026-01-05,units_produced,1388.0739
S4,2026-01-06,units_produced,1369.3329
S4,2026-01-07,units_produced,1346.4624
S4,2026-01-08,units_produced,1354.5139
S4,2026-01-09,units_produced,1353.4146
S4,2026-01-10,units_produced,1318.6768
S4,2026-01-11,units_produced,1254.8674
S4,2026-01-12,units_produced,1397.9437
S4,2026-01-13,units_produced,1371.4037
S4,2026-01-14,units_produced,1347.8064
